Species,Latin,Place,Gridref
Canada Goose,Branta canadensis,"Eileach an Naoimh (W), Garvellachs, Mid-Argyll",NM6309
Greylag Goose,Anser anser,"Eileach an Naoimh, Garvellachs, Mid-Argyll",NM6409
Mallard,Anas platyrhynchos,"Dun Chonnuill, Garvellachs, Mid-Argyll",NM6812
Eider,Somateria mollissima,"Garbh Eileach, Garvellachs, Mid-Argyll",NM6711
Red-breasted Merganser,Mergus serrator,"Garbh Eileach, Garvellachs, Mid-Argyll",NM6711
Swift,Apus apus,"Garvellachs (dump), Mid-Argyll",NM6510
Rock Dove,Columba livia,"Dun Chonnuill, Garvellachs, Mid-Argyll",NM6812
Woodpigeon,Columba palumbus,"Garbh Eileach, Garvellachs, Mid-Argyll",NM6711
Corncrake,Crex crex,"Garvellachs (dump), Mid-Argyll",NM6510
Oystercatcher,Haematopus ostralegus,"Garbh Eileach, Garvellachs, Mid-Argyll",NM6711
Whimbrel,Numenius phaeopus,"Garvellachs (dump), Mid-Argyll",NM6510
Woodcock,Scolopax rusticola,"Garbh Eileach, Garvellachs, Mid-Argyll",NM6711
Snipe,Gallinago gallinago,"Garbh Eileach, Garvellachs, Mid-Argyll",NM6711
Common Sandpiper,Actitis hypoleucos,"Garbh Eileach, Garvellachs, Mid-Argyll",NM6711
Kittiwake,Rissa tridactyla,"Garbh Eileach, Garvellachs, Mid-Argyll",NM6711
Sabine's Gull,Xema sabini,"Garvellachs (dump), Mid-Argyll",NM6510
Common Gull,Larus canus,"Garbh Eileach, Garvellachs, Mid-Argyll",NM6711
Great Black-backed Gull,Larus marinus,"Garbh Eileach, Garvellachs, Mid-Argyll",NM6711
Herring Gull,Larus argentatus,"Garbh Eileach, Garvellachs, Mid-Argyll",NM6711
Lesser Black-backed Gull,Larus fuscus,"Garbh Eileach, Garvellachs, Mid-Argyll",NM6711
Great Skua,Stercorarius skua,"Garvellachs, Mid-Argyll",NM6510
Pomarine Skua,Stercorarius pomarinus,The Garvellachs,NM6510
Arctic Skua,Stercorarius parasiticus,"Garvellachs (dump), Mid-Argyll",NM6510
